n_branches,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
293.66210045662103,,,,,0.03680555555555556,0.008771128023000169,0.008771128023000169,1
296.3972602739726,,,,,0.03680555555555556,0.008797973110096398,0.008797973110096398,1
299.1324200913242,,,,,0.03680555555555556,0.008824818197192627,0.008824818197192627,1
301.8675799086758,,,,,0.03680555555555556,0.008851663284288856,0.008851663284288856,1
304.60273972602744,,,,,0.03680555555555556,0.008878508371385084,0.008878508371385084,1
306.0,0.03680555555555556,0.07479717946256767,0.023652944965808283,10,,,,
307.337899543379,,,,,0.03680555555555556,0.008905353458481311,0.008905353458481311,1
310.0730593607306,,,,,0.03680555555555556,0.008932198545577542,0.008932198545577542,1
312.8082191780822,,,,,0.03680555555555556,0.00895904363267377,0.00895904363267377,1
315.5433789954338,,,,,0.03680555555555556,0.00898588871977,0.00898588871977,1
318.2785388127854,,,,,0.03680555555555556,0.009012733806866227,0.009012733806866227,1
321.013698630137,,,,,0.03680555555555556,0.009039578893962456,0.009039578893962456,1
323.7488584474886,,,,,0.03680555555555556,0.009066423981058683,0.009066423981058683,1
326.4840182648402,,,,,0.03680555555555556,0.009093269068154913,0.009093269068154913,1
329.2191780821918,,,,,0.03680555555555556,0.009120114155251142,0.009120114155251142,1
331.0,0.03680555555555556,0.07479717946256767,0.023652944965808283,10,,,,
331.9543378995434,,,,,0.03680555555555556,0.009146959242347371,0.009146959242347371,1
334.689497716895,,,,,0.03680555555555556,0.0091738043294436,0.0091738043294436,1
337.4246575342466,,,,,0.03680555555555556,0.009200649416539827,0.009200649416539827,1
340.1598173515982,,,,,0.03680555555555556,0.009227494503636056,0.009227494503636056,1
342.89497716894977,,,,,0.03680555555555556,0.009254339590732285,0.009254339590732285,1
345.6301369863014,,,,,0.03680555555555556,0.009281184677828515,0.009281184677828515,1
348.365296803653,,,,,0.03680555555555556,0.009308029764924742,0.009308029764924742,1
351.1004566210046,,,,,0.03680555555555556,0.009334874852020971,0.009334874852020971,1
353.83561643835617,,,,,0.03680555555555556,0.009361719939117198,0.009361719939117198,1
356.57077625570776,,,,,0.03680555555555556,0.009388565026213427,0.009388565026213427,1
358.0,0.03680555555555556,0.07479717946256767,0.023652944965808283,10,,,,
359.3059360730594,,,,,0.03671565355605749,0.009392411840834104,0.009392411840834104,1
362.041095890411,,,,,0.03601030727888798,0.009238238794115157,0.009238238794115157,1
364.7762557077626,,,,,0.034766527327889415,0.008944512015830068,0.008944512015830068,1
367.51141552511416,,,,,0.03318437071738587,0.00856166866295684,0.00856166866295684,1
370.24657534246575,,,,,0.03145013490911051,0.0081371695172328,0.0081371695172328,1
372.9817351598174,,,,,0.029723979808855834,0.007712237186740247,0.007712237186740247,1
375.716894977169,,,,,0.028136222301253913,0.007320796656044493,0.007320796656044493,1
378.45205479452056,,,,,0.02679031779354822,0.0069901443983187905,0.0069901443983187905,1
381.18721461187215,,,,,0.02577045338960223,0.006742837168167705,0.006742837168167705,1
383.92237442922374,,,,,0.025152272766676996,0.006599435718101421,0.006599435718101421,1
386.0,0.025,0.07500000000000001,0.023717082451262847,10,,,,
386.6575342465754,,,,,0.025000000000000005,0.006577716894977171,0.006577716894977171,1
389.39269406392697,,,,,0.025000000000000005,0.006595951293759515,0.006595951293759515,1
392.12785388127855,,,,,0.025000000000000005,0.006614185692541859,0.006614185692541859,1
394.86301369863014,,,,,0.025000000000000005,0.0066324200913242025,0.0066324200913242025,1
397.5981735159817,,,,,0.025000000000000005,0.006650654490106546,0.006650654490106546,1
400.33333333333337,,,,,0.025000000000000005,0.00666888888888889,0.00666888888888889,1
403.06849315068496,,,,,0.025000000000000005,0.006687123287671235,0.006687123287671235,1
405.80365296803654,,,,,0.025000000000000005,0.006705357686453578,0.006705357686453578,1
408.53881278538813,,,,,0.025000000000000005,0.006723592085235923,0.006723592085235923,1
411.2739726027397,,,,,0.025000000000000005,0.006741826484018267,0.006741826484018267,1
414.00913242009136,,,,,0.025000000000000005,0.00676006088280061,0.00676006088280061,1
416.74429223744295,,,,,0.025000000000000005,0.006778295281582954,0.006778295281582954,1
417.0,0.025,0.07500000000000001,0.023717082451262847,10,,,,
419.47945205479454,,,,,0.025000000000000005,0.006796529680365299,0.006796529680365299,1
422.2146118721461,,,,,0.025000000000000005,0.0068147640791476425,0.0068147640791476425,1
424.9497716894977,,,,,0.025000000000000005,0.006832998477929987,0.006832998477929987,1
427.68493150684935,,,,,0.025000000000000005,0.006851232876712331,0.006851232876712331,1
430.42009132420094,,,,,0.025000000000000005,0.006869467275494675,0.006869467275494675,1
433.1552511415525,,,,,0.025000000000000005,0.006887701674277018,0.006887701674277018,1
435.8904109589041,,,,,0.025000000000000005,0.006905936073059363,0.006905936073059363,1
438.6255707762557,,,,,0.025000000000000005,0.006924170471841706,0.006924170471841706,1
441.36073059360734,,,,,0.025000000000000005,0.00694240487062405,0.00694240487062405,1
444.09589041095893,,,,,0.025000000000000005,0.006960639269406394,0.006960639269406394,1
446.8310502283105,,,,,0.025000000000000005,0.006978873668188738,0.006978873668188738,1
449.5662100456621,,,,,0.025000000000000005,0.006997108066971082,0.006997108066971082,1
451.0,0.025,0.07500000000000001,0.023717082451262847,10,,,,
452.30136986301375,,,,,0.024996580869345853,0.0070143830108544665,0.0070143830108544665,1
455.03652968036533,,,,,0.024967218962535252,0.007024354146667468,0.007024354146667468,1
457.7716894977169,,,,,0.02490811813409514,0.007025893920242811,0.007025893920242811,1
460.5068493150685,,,,,0.024819748869325885,0.007019070313120007,0.007019070313120007,1
463.2420091324201,,,,,0.024702681714229294,0.0070039810498122275,0.0070039810498122275,1
465.97716894977174,,,,,0.024557582428279767,0.006980752584839553,0.006980752584839553,1
468.7123287671233,,,,,0.02438520666439965,0.006949538933807501,0.006949538933807501,1
471.4474885844749,,,,,0.024186394229955912,0.006910520361493412,0.006910520361493412,1
474.1826484018265,,,,,0.023962062984504102,0.006863901940764265,0.006863901940764265,1
476.9178082191781,,,,,0.02371320243127432,0.006809911996838834,0.006809911996838834,1
479.6529680365297,,,,,0.023440867060037496,0.006748800451925122,0.006748800451925122,1
482.3881278538813,,,,,0.02314616949902487,0.006680837085610171,0.006680837085610171,1
485.1232876712329,,,,,0.022830273533028862,0.006606309726558351,0.006606309726558351,1
487.8584474885845,,,,,0.02249438704371949,0.0065255223910901375,0.0065255223910901375,1
490.5936073059361,,,,,0.022139754926606862,0.006438793384074013,0.006438793384074013,1
493.3287671232877,,,,,0.021767652037008298,0.006346453377277601,0.006346453377277601,1
496.0639269406393,,,,,0.021379376214885164,0.0062488434799008894,0.0062488434799008894,1
498.7990867579909,,,,,0.020976241435548066,0.006146313315465425,0.006146313315465425,1
501.5342465753425,,,,,0.02055957113004144,0.006039219118571297,0.006039219118571297,1
504.26940639269407,,,,,0.02013069171556089,0.005927921864271134,0.005927921864271134,1
507.0045662100457,,,,,0.019690926372582025,0.005812785441961097,0.005812785441961097,1
509.7397260273973,,,,,0.019241589101540817,0.005694174884766843,0.005694174884766843,1
512.4748858447489,,,,,0.018783979087952617,0.005572454664421397,0.005572454664421397,1
515.2100456621005,,,,,0.01831937540084039,0.005447987060605966,0.005447987060605966,1
517.945205479452,,,,,0.01784903204530951,0.005321130612667431,0.005321130612667431,1
520.6803652968036,,,,,0.017374173386100897,0.0051922386605508155,0.0051922386605508155,1
523.4155251141552,,,,,0.01689598995501799,0.005061657980704007,0.005061657980704007,1
526.1506849315069,,,,,0.016415634651294152,0.0049297275216374095,0.0049297275216374095,1
528.8858447488585,,,,,0.015934219340279464,0.004796777242763996,0.004796777242763996,1
531.6210045662101,,,,,0.015452811852308936,0.004663127059115328,0.004663127059115328,1
534.3561643835617,,,,,0.014972433380296843,0.004529085893536515,0.004529085893536515,1
537.0913242009133,,,,,0.014494056271501965,0.004394950837014593,0.004394950837014593,1
539.8264840182649,,,,,0.014018602206047703,0.004261006416898678,0.004261006416898678,1
542.5616438356165,,,,,0.013546940752171235,0.004127523971931858,0.004127523971931858,1
545.296803652968,,,,,0.013079888285827231,0.003994761132238887,0.003994761132238887,1
548.0319634703196,,,,,0.012618207260190887,0.0038629614017046364,0.0038629614017046364,1
550.7671232876712,,,,,0.012162605808794092,0.0037323538395381065,0.0037323538395381065,1
553.5022831050229,,,,,0.011713737664487377,0.003603152837247863,0.003603152837247863,1
556.2374429223745,,,,,0.01127220237514491,0.003475557986757618,0.003475557986757618,1
558.9726027397261,,,,,0.010838545796013042,0.0033497540349650538,0.0033497540349650538,1
561.7077625570777,,,,,0.010413260837837758,0.0032259109196927315,0.0032259109196927315,1
564.4429223744293,,,,,0.009996788449379257,0.0031041838816944327,0.0031041838816944327,1
567.1780821917808,,,,,0.009589518812621866,0.003,0.003,1
569.9132420091324,,,,,0.009191792728899606,0.003,0.003,1
572.648401826484,,,,,0.008803903174265552,0.003,0.003,1
575.3835616438356,,,,,0.008426097002721964,0.003,0.003,1
578.1187214611872,,,,,0.00805857677637849,0.003,0.003,1
580.8538812785389,,,,,0.007701502702202725,0.003,0.003,1
583.5890410958905,,,,,0.007354994655750807,0.003,0.003,1
586.3242009132421,,,,,0.00701913427310014,0.003,0.003,1
589.0593607305937,,,,,0.006693967093133732,0.003,0.003,1
591.7945205479452,,,,,0.0063795047333282204,0.003,0.003,1
594.5296803652968,,,,,0.006075727083262248,0.003,0.003,1
597.2648401826484,,,,,0.005782584501169444,0.003,0.003,1
600.0,,,,,0.005499999999999998,0.003,0.003,1
