id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
106,101,29,1,137.0797834382706,57.31699181818435,197,11.0,-29.0
107,102,31,1,156.34421629995217,64.36003133906489,197,33.51953125,-31.0
108,101,29,1,135.7786946718393,60.453429747609334,200,20.065104166666668,-29.0
109,106,30,1,135.5802814271083,61.224494767714404,201,11.0,-30.0
110,108,30,1,134.32595476532524,63.03085432152029,203,20.065104166666668,-30.0
111,104,32,1,170.41826504338826,40.978337819241574,204,56.75,-32.0
112,110,31,1,137.46064716137624,65.4883001033099,204,12.0,-31.0
113,111,33,1,168.64804736624694,37.47491109612566,206,56.0,-33.0
114,103,31,1,168.0687716765187,44.32875470536079,207,59.0,-31.0
115,110,31,1,134.8994048911222,67.8389883005945,207,21.1953125,-31.0
116,111,33,1,170.9279752095033,37.50760835790314,207,57.5,-33.0
117,116,34,1,171.3794483281936,36.60435078211375,208,57.0,-34.0
118,110,31,1,127.0971926711786,56.590769473784306,209,27.0,-31.0
119,116,34,1,170.33602807885276,35.2470526654152,209,58.0,-34.0
120,117,35,1,172.27776355079985,36.0450680641047,209,57.0,-35.0
121,119,35,1,168.1544304723259,33.98520454171138,210,58.0,-35.0
122,120,36,1,174.53054853674632,36.890870725435164,210,57.0,-36.0
123,107,32,1,180.8630219601835,80.81155075328479,211,33.51953125,-32.0
124,115,32,1,135.22307657596835,74.57967901965469,211,21.1953125,-32.0
125,124,33,1,150.2466697423421,77.48406532440796,213,17.828125,-33.0
126,118,32,1,114.58934824127229,44.579784509478195,218,27.0,-32.0
127,124,33,1,130.84639020778897,77.27548421986508,219,24.5625,-33.0
128,127,34,1,127.17633374876975,78.89773144351282,223,24.5625,-34.0
129,128,35,1,118.8337422050857,75.6242073291162,226,24.5625,-35.0
130,125,34,1,157.74400482691942,83.97494993999916,231,17.828125,-34.0
131,126,33,1,109.68888663150219,43.79464918974552,236,27.0,-33.0
132,129,36,1,115.68002151054557,70.5884129833428,236,24.5625,-36.0
133,132,37,1,97.74380647848552,78.88820107544068,237,23.125,-37.0
134,123,33,1,188.49746283215478,83.245201883883,241,29.0,-33.0
135,130,35,1,165.75800956794743,82.9782696710493,241,17.828125,-35.0
136,131,34,1,104.55534392204476,32.80386868286141,241,27.0,-34.0
137,123,33,1,183.8413441130646,85.8728040483499,242,38.0390625,-33.0
138,132,37,1,84.81835736467362,71.7134206965337,242,26.0,-37.0
139,137,34,1,202.99399722978276,99.73649904173848,247,38.0390625,-34.0
140,134,34,1,191.04021984468622,90.97213056239403,249,29.0,-34.0
141,135,36,1,173.5532003200074,83.28024238347892,249,17.828125,-36.0
142,141,37,1,182.73487990488633,107.59139954707379,257,17.828125,-37.0
143,133,38,1,83.1919689082774,81.222983103689,259,23.125,-38.0
144,143,39,1,92.60391189842505,71.02513789425265,260,22.0,-39.0
145,144,40,1,97.05098751452309,71.04692635190764,262,22.0,-40.0
146,139,35,1,207.45600280719754,101.56148174284498,272,38.0390625,-35.0
147,143,39,1,81.81713844808873,86.2561075523711,274,24.25,-39.0
148,146,36,1,209.5423339819428,101.64613714550131,274,30.0,-36.0
149,138,38,1,83.8758442053619,76.86808806630567,275,26.0,-38.0
150,147,40,1,79.94882777208748,88.53982829847835,277,24.25,-40.0
151,146,36,1,214.13438406396853,94.19006192044527,278,46.078125,-36.0
152,150,41,1,79.83621813561376,91.70568738883007,280,23.5,-41.0
153,142,38,1,180.88943207790012,112.31588352942234,283,17.828125,-38.0
154,150,41,1,75.0055720128631,91.41617189888991,283,25.0,-41.0
155,152,42,1,83.25847740021652,94.25220173489728,283,23.0,-42.0
156,152,42,1,81.2125153032615,96.58913872577465,285,24.0,-42.0
157,153,39,1,182.19527357809983,115.35419757149235,286,17.828125,-39.0
158,151,37,1,185.2795547240047,65.7463612973585,287,46.078125,-37.0
159,155,43,1,80.55508799926851,98.20002913857435,287,23.0,-43.0
160,154,42,1,46.482100748346554,100.89489562633304,288,25.0,-42.0
161,157,40,1,177.94437550609914,117.79264938150307,290,14.65625,-40.0
162,157,40,1,179.03665105693406,119.56829556878306,291,21.0,-40.0
163,161,41,1,176.11046858081355,116.9413527102749,291,13.0,-41.0
164,161,41,1,175.64030239277207,121.07836667844589,294,16.3125,-41.0
165,164,42,1,175.43469650912,125.58154151830144,295,16.3125,-42.0
