times_used,z_from_front,barw_active_raw_norm,barw_active_norm,barw_active_sem_norm,pde_active_norm,barw_duct_raw_norm,barw_duct_norm,barw_duct_sem_norm,pde_inactive_norm,n_samples_active,n_samples_duct
140;180;220;260;300,2.0,0.06280193236714976,0.9828928559017768,0.15958414074856497,0.9728689862553108,0.002902757619738752,0.3120884239507941,0.0017170282019818538,0.03316316897365852,129,106
140;180;220;260;300,4.0,0.04830917874396135,0.9156853453118334,0.13497979257489143,0.8916695088942252,0.0,0.2136743208500651,0.0,0.01986023359433087,129,106
140;180;220;260;300,6.0,0.0,0.8108720700137952,0.0,0.7677250879187743,0.0,0.1346764085282885,0.0,0.011544194465962766,1,110
140;180;220;260;300,8.0,0.024343297101449276,0.6858524791223363,0.08900305181559633,0.6205837532605507,0.0,0.0777704813342031,0.0,0.006534578380961072,128,121
140;180;220;260;300,10.0,0.024154589371980676,0.5584417371559047,0.08832432360140757,0.47175085413209816,0.0,0.040986388371828615,0.0,0.0036124829999707344,129,108
140;180;220;260;300,12.0,0.009661835748792272,0.4430104321903553,0.05653290904948176,0.3384552997636155,0.0,0.01965214732057292,0.0,0.001955269041264835,129,115
140;180;220;260;300,14.0,0.028985507246376812,0.34833350247807965,0.11194743434573598,0.2303060126830158,0.0,0.008548829493361245,0.0,0.0010383009992518566,129,108
140;180;220;260;300,16.0,0.014492753623188406,0.2773874922562255,0.06896525961327349,0.14947119939298395,0.0,0.003365716952748579,0.0,0.0005418821114257433,129,106
140;180;220;260;300,18.0,0.024154589371980676,0.2285875500414528,0.10510702249803361,0.09305284018748229,0.0,0.0011941140962612692,0.0,0.00027833618690291986,129,106
140;180;220;260;300,20.0,0.0,0.19765342079862835,0.0,0.05586567557295953,0.0,0.00037668195193639334,0.0,0.00014087389532378683,1,110
140;180;220;260;300,22.0,0.01947463768115942,0.1793806125778169,0.07992969922624642,0.03249896359465291,0.0,0.00010092368842013373,0.0,7.032599541263652e-05,128,121
140;180;220;260;300,24.0,0.019323671497584544,0.16892309291453897,0.09766053032639094,0.018393627090370863,0.0,1.7262686628988237e-05,0.0,3.465678044667444e-05,129,108
140;180;220;260;300,26.0,0.024154589371980676,0.16251485049866365,0.10510702249803361,0.010162585459752278,0.0,1.5543445086085494e-07,0.0,1.6871678955813004e-05,129,115
140;180;220;260;300,28.0,0.04830917874396135,0.157690230165608,0.15720096844826587,0.005496369264452145,0.0,0.0,0.0,8.118886322589397e-06,129,108
140;180;220;260;300,30.0,0.014492753623188406,0.15319852317773236,0.06896525961327347,0.0029164149010158453,0.0,0.0,0.0,3.8640340532829805e-06,129,106
140;180;220;260;300,32.0,0.014492753623188406,0.14869999622154942,0.06896525961327349,0.0015209136165757807,0.0,0.0,0.0,1.8197185044497348e-06,129,106
140;180;220;260;300,34.0,0.0,0.1442824908146697,0.0,0.0007806810286332095,0.0,0.0,0.0,8.483546842562877e-07,0,110
140;180;220;260;300,36.0,0.009661835748792272,0.14053796785941092,0.05653290904948176,0.0003948872726307899,0.0,0.0,0.0,3.916822593434239e-07,129,121
140;180;220;260;300,38.0,0.019323671497584544,0.13749705113816788,0.09766053032639094,0.0001970292283217982,0.0,0.0,0.0,1.7915586116252754e-07,129,108
140;180;220;260;300,40.0,0.019323671497584544,0.13518775484814347,0.09766053032639091,9.705219334928006e-05,0.0,0.0,0.0,8.121050088962442e-08,129,115
140;180;220;260;300,42.0,0.024154589371980676,0.13341508591795828,0.10510702249803361,4.722845424859279e-05,0.0,0.0,0.0,3.649284729574281e-08,129,108
140;180;220;260;300,44.0,0.014605978260869566,0.1319156702382351,0.06949970710804104,2.271911628644219e-05,0.0,0.0,0.0,1.6260571340078115e-08,128,105
