time,x,active_density,inactive_density
3.0,112.5,6.952822415171336e-309,3.4664247054e-314
3.0,114.0,6.341e-320,0.0
3.0,115.5,0.0,0.0
3.0,117.0,0.0,0.0
3.0,118.5,0.0,0.0
3.0,120.0,0.0,0.0
3.0,121.5,0.0,0.0
3.0,123.0,0.0,0.0
3.0,124.5,0.0,0.0
3.0,126.0,0.0,0.0
3.0,127.5,0.0,0.0
3.0,129.0,0.0,0.0
3.0,130.5,0.0,0.0
3.0,132.0,0.0,0.0
3.0,133.5,0.0,0.0
3.0,135.0,0.0,0.0
3.0,136.5,0.0,0.0
3.0,138.0,0.0,0.0
3.0,139.5,0.0,0.0
3.0,141.0,0.0,0.0
3.0,142.5,0.0,0.0
3.0,144.0,0.0,0.0
3.0,145.5,0.0,0.0
3.0,147.0,0.0,0.0
